Tag,1844.2.1,1853.9.4,1862.9.3,1915.9.2,1885.6.13,1867.11.17,1903.10.24,
MRU,0,0,0,0,0,0,0,
MTC,0,0,0,0,0,0,0,
MUG,12571510,4977210,0,0,0,0,0,
MUS,6761318,6279166,9745518,6984017,9970860,8314005,6943856,
MYS,0,0,0,0,0,0,0,
NAG,0,0,0,0,0,0,0,
NAL,0,0,0,0,0,0,0,
NAN,273544,87212,10504,0,10425,10356,0,
NAS,0,0,0,0,0,0,0,
NAV,177515,189165,386410,0,0,406354,0,
NBG,861173,774457,0,0,0,0,0,
NEH,0,0,0,0,0,0,0,
NEJ,164112,161873,0,0,0,0,0,
NEN,0,0,0,0,0,0,0,
NEP,245391,243397,240758,204215,225838,239330,202911,
NET,0,0,0,0,0,0,0,
NEW,0,0,0,0,0,0,0,
NFL,188155,191819,0,0,0,0,0,
NGF,0,0,0,0,0,0,0,
NGR,0,0,0,0,0,0,0,
NIC,0,0,0,0,0,0,0,
NIG,0,0,0,0,0,0,0,
NMB,0,0,0,0,0,0,0,
NOG,69553,66087,64007,0,0,63132,0,
NOR,0,0,0,0,0,0,0,
NOV,136645,134154,130500,140294,126078,125329,128380,
NRI,1510256,626356,248638,0,0,248435,0,
NUN,0,0,0,0,0,0,0,
NUS,0,0,0,0,0,0,0,
NYE,0,0,0,0,0,0,0,
NZL,0,0,0,0,0,0,0,
OCC,0,0,0,0,0,0,0,
OCE,0,0,0,0,0,0,0,
OLD,0,0,0,0,0,0,0,
OMA,38254,36793,34795,34182,34579,34318,34398,
ORA,0,0,0,0,0,0,0,
ORI,0,0,0,0,0,0,0,
ORO,0,0,0,0,0,0,0,
OYO,1191462,0,0,0,0,0,0,
PAK,0,0,0,0,0,0,0,
PAP,472004,0,0,0,0,0,0,
PAR,0,0,0,0,0,0,0,
PAT,0,0,0,0,0,0,0,
PBC,0,0,0,0,0,0,0,
PER,0,0,0,0,0,0,0,
PEU,0,0,0,0,0,0,0,
PGG,0,0,0,0,0,0,0,
PHG,0,0,0,0,0,0,0,
PHL,0,0,0,0,0,0,0,
PLA,2439868,3701943,0,0,0,0,0,
PLC,4851294,6283632,5560054,22820035,11744325,8329294,19227817,
PLM,490680,715269,712982,0,0,712717,0,
PLS,0,0,0,0,0,0,0,
PML,0,0,0,0,0,0,0,
PNB,0,0,0,0,0,0,0,
PNJ,0,0,0,0,0,2066227,0,
PNM,0,0,0,0,0,0,0,
PNT,0,0,0,0,0,0,0,
POL,0,0,0,0,0,0,0,
POM,0,0,0,0,0,0,0,
POR,0,0,0,0,0,0,0,
PPG,0,0,0,0,0,0,0,
PPU,0,0,0,0,0,0,0,
PRG,0,0,0,0,0,0,0,
PRI,0,0,0,0,0,0,0,
PRK,0,0,0,0,0,0,0,
PRU,301403,274795,0,0,0,0,0,
PRV,0,0,0,0,0,0,0,
PSV,272658,298280,0,0,0,0,0,
PTG,0,0,0,0,0,0,0,
PUR,0,0,0,0,0,0,0,
PZN,0,0,0,0,0,0,0,
QAJ,1092088,1272345,1295903,855961,1085115,1310959,1299236,
QAT,0,0,0,0,0,0,0,
QNG,0,0,0,0,0,0,0,
QUE,0,0,0,0,0,0,0,
QUI,0,0,0,0,0,0,0,
RAJ,0,0,0,0,0,0,0,
RAP,553,350,173,0,0,0,0,
RDL,0,0,0,0,0,0,0,
REB,0,0,0,0,0,0,0,
RGR,0,0,0,0,0,0,0,
RGS,0,0,0,0,0,0,0,
RHI,0,0,0,0,0,0,0,
RHO,0,0,0,0,0,0,0,
RMG,0,0,0,0,0,0,0,
ROM,0,0,0,0,0,0,0,
RPL,0,0,0,0,0,0,0,
RUS,0,0,0,0,0,0,0,
RUT,0,0,0,0,0,0,0,
RWA,123808,122949,108743,0,0,108367,0,
RYU,0,0,0,0,0,0,0,
SAF,0,0,0,0,0,0,0,
SAK,0,0,0,0,0,0,0,
SAL,0,0,0,0,0,0,0,
SAN,0,0,0,0,0,0,0,
SAR,118241,0,0,0,0,0,0,
SAT,0,0,0,0,0,0,0,
SAX,0,0,0,0,0,0,0,
SBA,0,0,0,0,0,0,0,
SCA,6770703,8665562,8912947,18570044,10951423,9964073,15441300,
SCH,0,0,0,0,0,0,0,
SCO,0,0,0,0,0,0,0,
SEG,0,0,0,0,0,0,0,
SEN,0,0,0,0,0,0,0,
SER,0,0,0,0,0,0,0,
SFJ,0,0,0,0,0,0,0,
SGF,5606392,8222998,6820310,0,0,6211731,0,
SGM,0,0,0,0,0,0,0,
SHA,0,0,0,0,0,0,0,
SHI,0,0,0,0,0,0,0,
SHK,0,0,0,0,0,0,0,
SHO,338213,312109,308717,0,0,308906,0,
SHU,0,0,0,0,0,0,0,
SHW,0,0,0,0,0,0,0,
SIA,614324,608031,604655,0,0,807062,0,
SIB,0,0,0,0,0,0,0,
SIC,0,0,0,0,0,0,0,
SID,0,0,0,0,0,0,0,
SIE,0,0,0,0,0,0,0,
SIK,13350,12333,11369,11222,10630,10915,10940,
SIL,0,0,0,0,0,0,0,
SIN,403890,108160,104937,0,62934,78342,47448,
SLA,0,0,0,0,0,0,0,
SLE,0,0,0,0,0,0,0,
SLG,0,0,0,0,0,0,0,
SLO,0,0,0,0,0,0,0,
SLS,0,0,0,0,0,0,0,
SLV,0,0,0,0,0,0,0,
SLW,0,0,0,0,0,0,0,
SMO,0,0,0,0,0,0,0,
SNG,0,0,0,0,0,0,0,
SNZ,0,0,0,0,0,0,0,
SOK,0,0,0,0,0,0,0,
SOM,0,0,0,0,0,0,0,
SON,0,0,0,0,0,0,0,
SPA,6247779,9959602,17477607,40205937,27457735,18058743,33575644,
SPC,0,0,0,0,0,0,0,
SPU,0,0,0,0,0,0,0,
SRD,0,0,0,0,0,0,0,
SRI,0,0,0,0,0,0,0,
SRL,0,0,0,0,0,0,0,
SRN,0,0,0,0,0,0,0,
SUA,0,0,0,0,0,0,0,
