Tag,1844.2.1,1853.9.4,1862.9.3,1915.9.2,1885.6.13,1867.11.17,1903.10.24,
SGM,0,0,0,0,0,0,0,
SHA,0,0,0,0,0,0,0,
SHI,0,0,0,0,0,0,0,
SHK,0,0,0,0,0,0,0,
SHO,313819,292269,289935,0,0,290536,0,
SHU,0,0,0,0,0,0,0,
SHW,0,0,0,0,0,0,0,
SIA,425042,425887,428470,0,0,531690,0,
SIB,0,0,0,0,0,0,0,
SIC,0,0,0,0,0,0,0,
SID,0,0,0,0,0,0,0,
SIE,0,0,0,0,0,0,0,
SIK,0,0,0,0,0,0,0,
SIL,0,0,0,0,0,0,0,
SIN,269,1245,1912,0,1831,1657,2045,
SLA,0,0,0,0,0,0,0,
SLE,0,0,0,0,0,0,0,
SLG,0,0,0,0,0,0,0,
SLO,0,0,0,0,0,0,0,
SLS,0,0,0,0,0,0,0,
SLV,0,0,0,0,0,0,0,
SLW,0,0,0,0,0,0,0,
SMO,0,0,0,0,0,0,0,
SNG,0,0,0,0,0,0,0,
SNZ,0,0,0,0,0,0,0,
SOK,0,0,0,0,0,0,0,
SOM,0,0,0,0,0,0,0,
SON,0,0,0,0,0,0,0,
SPA,3160091,3430182,5137473,8049544,6694441,5273095,7155032,
SPC,0,0,0,0,0,0,0,
SPU,0,0,0,0,0,0,0,
SRD,0,0,0,0,0,0,0,
SRI,0,0,0,0,0,0,0,
SRL,0,0,0,0,0,0,0,
SRN,0,0,0,0,0,0,0,
SUA,0,0,0,0,0,0,0,
SUD,0,0,0,0,0,0,0,
SUL,21771,22622,23415,0,25620,23753,31115,
SVY,0,0,0,0,0,0,0,
SWE,0,0,0,0,0,0,0,
SWH,0,0,0,0,0,0,0,
SWI,0,0,0,0,0,0,0,
SWK,0,0,0,0,0,0,0,
SXI,0,0,0,0,0,0,0,
SYC,0,0,0,0,0,0,0,
SYR,0,0,0,0,0,0,0,
SZC,0,0,0,0,0,0,0,
TAI,55699726,78790905,89909728,97840002,92069957,90414728,100297354,
TAJ,0,0,0,0,0,0,0,
TAP,0,0,0,0,0,0,0,
TAR,0,0,0,0,0,0,0,
TCA,0,0,0,0,0,0,0,
TEX,0,0,0,0,0,0,0,
TGA,0,0,0,0,0,0,0,
THU,0,0,0,0,0,0,0,
TIB,393065,396155,395027,0,410591,396867,49971,
TIG,0,0,0,0,0,0,0,
TIR,0,0,0,0,0,0,0,
TJK,0,62954,60468,0,64211,60449,0,
TKG,0,0,0,0,0,0,0,
TKM,0,0,0,0,0,0,0,
TKS,0,0,0,0,0,0,0,
TMR,0,0,0,0,0,0,0,
TNG,0,0,0,0,0,0,0,
TNT,0,29896,26164,0,0,0,0,
TNZ,0,0,0,0,0,0,0,
TOG,0,0,0,0,0,0,0,
TON,721530,697497,700234,0,0,700886,0,
TOO,0,0,0,0,0,0,0,
TOS,0,0,0,0,0,0,0,
TOU,0,1041383,935807,0,0,209919,0,
TPG,0,0,0,0,0,0,0,
TRA,0,0,0,0,0,0,0,
TRE,0,0,0,0,0,0,0,
TRI,0,0,0,0,0,0,0,
TRN,61112,58841,0,0,0,0,0,
TRO,0,0,0,0,0,0,0,
TRZ,0,0,0,0,0,0,0,
TSS,0,0,0,0,0,0,0,
TSW,0,0,0,0,0,0,0,
TTB,0,0,0,0,0,0,0,
TUI,34678,31994,29953,28904,28175,28503,28422,
TUN,175723,0,0,0,0,0,0,
TUR,3092041,4109443,5965471,11359317,7669433,6197749,9780937,
TUS,446982,0,0,0,0,0,0,
UAR,0,0,0,0,0,0,0,
UBD,0,0,0,0,0,0,0,
UCA,0,0,0,0,0,0,0,
UGH,0,0,0,0,0,0,0,
UIL,0,0,0,0,0,0,0,
UKR,815233,838848,0,0,0,0,0,
UNB,0,0,0,0,0,0,0,
UNM,0,0,0,0,0,0,0,
UOR,0,0,0,0,0,0,0,
URA,0,0,0,0,0,0,0,
URU,0,0,0,0,0,0,0,
USA,0,0,0,0,0,0,0,
UTI,0,0,0,0,0,0,0,
UYG,0,0,0,0,0,0,0,
UZB,0,501920,446347,0,458933,445648,0,
VEN,1064896,159220,136362,0,0,0,0,
VIJ,2942357,585218,0,0,0,0,0,
VIN,803621,917508,0,0,0,0,0,
VNZ,0,0,0,0,0,0,0,
VTU,0,0,0,0,0,0,0,
